,Unnamed: 0,Shoe_Name,Category,Colour,Shoe_Price,Style_code,Count_Size,Colour1,Colour2,Colour3,Colour4,Colour5,Review,Size,Comfort,Star_Rate,Durability
88,88,Navy Slip-on shoes,Men Sportswear,6,2364.5,HP2757,4,Cloud White,Blue Fusion S23,Acid Orange,Bright Red,Semi Flas Aqua,389 reviews,6/9/11/12,comfortable,4.4,perfect
89,89,Navy Casual sneaker for men,Men Running,1,17999.0,EX2102,3,Crew Navy S21,,,,,127 reviews,6/9/12,comfortable,4.2,perfect
90,90,Dgrey Slip-on Shoe for Men,Men Sportswear,1,1979.5,HQ6441,8,Chalk White,,,,,240 reviews,6/7/7.5/8/9/9.5/10/11,comfortable,4.2,perfect
91,91,Blue/Grey Sneaker for men,Men Running,5,2399.5,GA0868,2,Core Black,Dove Grey S20,Active Gold,Orange Rush S22,Acid Yellow S21,222 reviews,8/9,comfortable,4.1,perfect
92,92,Beige sock knit sneaker,Women Running,1,1799.5,GC0914,2,Silver Dawn S23,,,,,19 reviews,5/7,comfortable,4.1,perfect
93,93,Grey/Pink sneakers for women,Men Running,1,5999.5,CM4822,2,Tech Onix,,,,,159 reviews,6/8,comfortable,4.2,perfect
94,94,Green casual sneaker for women,Men Sportswear,4,7199.5,GW9195,4,Cloud White,Core Black,Cloud White,Dover Grey S20,,180 reviews,8/9/11/12,comfortable,4.7,perfect
95,95,Blue casual sneakers for men,Running,3,17999.0,HP9014,2,Core Black,Better Scarlet S23,Shadow Red,,,230 reviews,4/6,comfortable,4.4,perfect
96,96,Taupe Sports shoe for men,Men Sportswear,5,2999.5,GX1752,1,Cloud White,Core Black,Core Black,Gum,Orange Rush,3039 reviews,8,comfortable,4.7,perfect
97,97,Black/Grey Sports Shoe for men,Men Running,6,4899.5,GY7479,8,Light Solid Grey,Shadow Navy S22,Better Scarlet S23,Bold Gold,Beam Green,260 reviews,6/7/7.5/8/9/10/11,comfortable,4.7,perfect
98,98,Olive Sneakers for men,Men Walking,3,3299.0,HP2677,7,Legend Ink,Dove Grey S20,Lucid Blue S23,,,1216 reviews,6/7/8/9/10/11/12,comfortable,4.6,perfect
99,99,Grey sneakers for men,sportswear,4,3999.0,GC0569,6,Core Black,Core Black,Grey Six,Stone,,38 reviews,7/8/9/10/11/12,comfortable,4.2,perfect
100,100,MAX CUSHIONING ARCH FIT -ENIG,Men,1,5699.0,220195,1,Black,Grey,,,,41,8,comfortable,4.9,durable
101,101,AIR CUSHIONING,Men,2,3999.0,177102-NVY,2,Navy Blue,Rose,Light Pink,,,40,5/6,comfortable,4.3,durable
102,102,UNO - EVERYWEAR,Women,3,3499.0,232561,1,Grey,Orange,Navy Blue,,,1,12,,5.0,
103,103,AIR CUSHIONING,Men,3,3999.0,232561,1,Orange,,,,,1,12,,5.0,
104,104,MIRA,Men,1,3999.0,232218,1,Navy/Orange,White/Multi,,,,0,7,,0.0,
105,105,ARCH FIT GLIDE-STEP,Men,2,3999.0,232529,2,Yellow,,,,,1,7/9,comfortable,4.0,
106,106,AIR CUSHIONING,Men,1,3999.0,220691,3,Lime,,,,,11,8/10/12,comfortable,4.9,durable
107,107,MAX CUSHIONING HYPER CRAZE BO,Men,1,6999.0,894087,2,Black/White,Black/White/Red,,,,0,7/12,,0.0,0
108,108,STAMINA V3,Men,2,4499.0,246077,1,Blue/Green,Black/Multi,,,,5,12,comfortable,4.0,durable
109,109,GO RUN RAZOR TRL - 2,Men,2,6999.0,220691-LIME,3,Lime,,,,,11,8/10/12,comfortable,4.9,durable
110,110,MAX CUSHIONING HYPER CRAZE BO,Men,1,6999.0,177102-ROS,1,Rose,,,,,40,5,comfortable,4.3,durable
111,111,UNO - EVERYWEAR,Women,1,3499.0,237205-WMLT,5,White/Multi,,,,,0,7/8/9/10/11,,0.0,
112,112,GLOBAL JOGGER - POSTER,Men,1,3499.0,220170-BKRD,2,Black/Red,,,,,0,7/12,,0.0,
113,113,GO RUN HYPER BURST - HAPTIC R,Men,1,5399.0,128923-NVPK,5,Navy/Pink,,,,,19,5/6/7/8/9,comfortable,4.5,durable
114,114,MAX CUSHIONING ARCH FIT - SWI,Women,1,5999.0,128923-WAQ,1,White,,,,,19,5,comfortable,4.5,durable
115,115,MAX CUSHIONING ARCH FIT - SWI,Women,1,5999.0,220551,4,Wheat/Black,Oolive,,,,0,8/10/11/12,,0.0,
116,116,GO RUN SWIRL TECH,Men,2,6599.0,232218-NVOR,1,Navy/Orange,,,,,0,7,,0.0,
117,117,ARCH FIT INFINITY - STORMLIGH,Men,1,4799.0,54430,1,Black/Blue,Charcoal/Red,,,,80,7,comfortable,4.7,durable
118,118,STAR SPEEDER - BRIGHT FORCE,GIRLS,2,2449.0,232607,5,Navy/Orange,Black/Grey,White/Blue,,,11,7/8/10/11/12,comfortable,4.6,durable
119,119,GO WALK MASSAGE FIT - TIDAL,Men,3,7699.0,232529-RDBK,2,Red,,,,,1,7/11,comfortable,4.0,
